Date,MSFT_Price,Interest_Rate,Inflation_Rate
2021-01-31,221.1717,0.09,1.3738
2021-02-28,222.0825,0.08,1.6698
2021-03-31,225.3222,0.07,2.6678
2021-04-30,241.0051,0.07,4.1331
2021-05-31,239.1668,0.06,4.9183
2021-06-30,259.4933,0.08,5.2956
2021-07-31,272.9135,0.1,5.2452
2021-08-31,289.7225,0.09,5.152
2021-09-30,270.5663,0.08,5.3512
2021-10-31,318.2648,0.08,6.235
2021-11-30,317.8567,0.08,6.902
2021-12-31,323.366,0.08,7.1743
2022-01-31,299.002,0.08,7.5588
2022-02-28,287.8756,0.08,7.9373
2022-03-31,297.0478,0.2,8.5722
2022-04-30,267.3825,0.33,8.2318
2022-05-31,262.549,0.77,8.5382
2022-06-30,248.0246,1.21,8.9794
2022-07-31,271.1149,1.68,8.4626
2022-08-31,253.0415,2.33,8.2226
2022-09-30,225.3925,2.56,8.1921
2022-10-31,224.6473,3.08,7.7588
2022-11-30,247.6114,3.78,7.1229
2022-12-31,232.7435,4.1,6.4046
2023-01-31,240.4977,4.33,6.3272
2023-02-28,242.6665,4.57,5.9578
2023-03-31,280.4937,4.65,4.9177
2023-04-30,298.9404,4.83,4.9501
2023-05-31,320.1967,5.06,4.1319
2023-06-30,332.0435,5.08,3.0706
2023-07-31,327.5387,5.12,3.2877
2023-08-31,320.259,5.33,3.7225
2023-09-30,308.5238,5.33,3.6872
2023-10-31,330.3722,5.33,3.2513
2023-11-30,370.9899,5.33,3.1333
2023-12-31,368.1799,5.33,3.3159
2024-01-31,389.2697,5.33,3.0883
2024-02-29,405.7429,5.33,3.1571
2024-03-31,412.6877,5.33,3.4868
2024-04-30,381.897,5.33,3.3608
2024-05-31,407.9389,5.33,3.2443
2024-06-30,439.2077,5.33,2.9703
2024-07-31,411.1032,5.33,2.9415
2024-08-31,410.653,5.33,2.6071
2024-09-30,423.6082,5.13,2.4265
2024-10-31,400.0307,4.83,2.5788
2024-11-30,417.7091,4.64,2.7195
2024-12-31,415.7757,4.48,2.8707
2025-01-31,409.4232,4.33,2.991
2025-02-28,392.3837,4.33,2.8016
2025-03-31,371.0344,4.33,2.382
2025-04-30,390.6739,4.33,2.3254
2025-05-31,455.8538,4.33,2.3773
2025-06-30,492.5412,4.33,2.6805
2025-07-31,528.278,4.33,2.7426
2025-08-31,502.5551,4.33,2.9386
2025-09-30,513.7233,4.22,3.0226
2025-10-31,513.5844,4.09,2.7291
2025-11-30,488.9083,3.88,2.6964
2025-12-31,480.5711,3.72,2.6533
2026-01-31,427.5774,3.64,2.3912
2026-02-28,391.1548,3.64,2.434
2026-03-31,368.676,3.64,3.286
2026-04-30,406.1342,3.64,3.7792
2026-05-31,449.394,3.63,4.1666
2026-06-30,372.3191,3.63,3.4635
2026-07-31,463.8468,3.63,3.3039
2026-08-31,507.29,3.63,3.353
